method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/search.jsp?query=harsh',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=000000',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=01Liones*s',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=01jan85',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=01pqlamz',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1MESSI0',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1chocolate',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1kauk0wsky1',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1q2w3e4r',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1q2w-3e',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1qazxcvb',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=1yuni=mori=2',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=2b636468',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=2ezwga2t',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=3bubbles',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=3idmobarak',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=3jesus3',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=04mayravi',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=4u2cmesk8',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=05monkey',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=07caardelean',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=7dejulio',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=8password',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=8reddevil',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=11jan85',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=12alex',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=14/04/2527',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=17delwit',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=17lara04',b'',0,0,0,0,0,0,good
